,公司名稱,公司類別描述,職缺名稱,職務性質,職務內容,更新日期,職缺連結,公司地址,地區,經歷,學歷
0,樂方股份有限公司,電腦軟體服務業,Python Senior Engineer,1,"BigGo - Python 資深程式設計師 高雄 / 台北 
BigGo是全球第一間跨境的商品搜尋引擎，是台灣與泰國最大的比價服務網站。我們正在為全球市場招募Python 工程師。
BigGo 用了數十種不同的程式語言再各種地方，但是最重要的就",3/22,https://www.104.com.tw/job/70972?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,高雄市鼓山區中華一路828號13樓,高雄市鼓山區,4年以上,碩士
1,威寶數位科技股份有限公司,其他商品批發業,Python工程師,1,"PyTorch等。
5. 自主編寫程式與調試，能使用Python實現預定的演算法邏輯。
6. 本職務須可自我管理，並對工作有高度責任感。",1/21,https://www.104.com.tw/job/6z366?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,基隆市信義區基隆市信義區信一路148號,基隆市信義區,1年以上,專科
2,樂方股份有限公司,電腦軟體服務業,Python Engineer,1,"BigGo - Python 程式設計師 高雄 / Work From Home
BigGo是全球第一間跨境的商品搜尋引擎，是台灣/泰國跟馬來西亞最大的比價服務網站。我們正在為全球市場招募Python 工程師。
BigGo 用了數十種不同的程式語",3/22,https://www.104.com.tw/job/63ffy?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,高雄市鼓山區中華一路828號13樓,高雄市鼓山區,經歷不拘,大學
3,瑪樂愛迪科技股份有限公司,廣告行銷公關業,Data Engineer | Python,1,"脈絡的能力
．具有程式撰寫能力，例如 Python
．注重細節的團隊合作者，具有良好的溝通能力
．可以撰寫爬蟲程式並對主流社群媒體平台抓取資料，如：Facebook、Instagram、Youtube 

【加分但不是必須】
．具有數據分析框架的經",3/22,https://www.104.com.tw/job/77ymq?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,台北市信義區信義路四段415號8樓之4,台北市信義區,經歷不拘,專科
4,皇霖實業股份有限公司,紡織成衣業,Python工程師,1,"- 熟悉Python語言撰寫實務經驗1年以上。
- 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。
- 依不同經驗及能力來負責系統之分析(SA)、設計(SD)以及程式撰寫(PG)。
- 配合公司專案需求至客戶端駐點服務。",3/21,https://www.104.com.tw/job/77phe?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,台北市信義區,台北市信義區,1年以上,專科
5,春水堂科技娛樂股份有限公司,數位內容產業,Python資深/工程師,1,"1.	獨立開發Python應用程式與測試除錯
2.	使用Python Web framework實務開發經驗
3.	熟Restful API開發
4.	熟關聯式資料庫SQL語法以及MongoDB和Redis操作
5.	熟Web前端",3/19,https://www.104.com.tw/job/77pnl?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,台北市內湖區洲子街106號10樓,台北市內湖區,2年以上,專科
6,台灣宸運雲端有限公司,其它軟體及網路相關業,Python 工程師,1,"工作內容：
- Python 監控與維運系統開發。

職務要求： 
- Python 實務開發經驗。
- 熟悉 JSON 、RESTful Web Services。
- 具有 Git 版本控制相關知識。
- 熟悉 Linux 基本常見指令。
-",3/24,https://www.104.com.tw/job/6guen?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,台中市西屯區安和路168號6樓之一,台中市西屯區,1年以上,學歷不拘
7,禾向數位科技有限公司,電腦軟體服務業,Python Backend Engineer,1,"1. 負責搭建和持續改進項目平台
2. 負責數據分析平台開發與優化
3. 持續提升團隊工程效率，探索符合團隊特色的工作流

必備條件(含技術工具、語言及工作經歷)：
- 資訊相關科系大學以上學歷、至少1年的後端Web開發經驗
- 熟悉Python",3/24,https://www.104.com.tw/job/71i7c?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,台北市內湖區瑞光路358巷,台北市內湖區,1年以上,專科
8,達暉資訊有限公司,電腦系統整合服務業,Python工程師,1,"必要條件：
・1年 Python3+ 開發經驗（遵守 PEP 8 規範)
・熟悉 Django MTV 框架, Python ORM (Django ORM, SQLAlchemy)
・熟悉 Docker 建立及管理專案

°o‧° °o‧° °",3/24,https://www.104.com.tw/job/6xwvw?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,台北市信義區基隆路二段189號14樓之10,台北市信義區,1年以上,專科
9,億力資訊股份有限公司,電腦軟體服務業,python工程師,1,"1.熟悉Git或其他版控工具 (must)
2. 具備2年以上Python程式開發、維護經驗 (must)
3. 熟悉DJango or Flask框架
4.具備2年以上RDB開發經驗 (must)，MySQL為佳
5. 熟悉AWS服務及其API",3/22,https://www.104.com.tw/job/788vw?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,台北市松山區民權東路三段142號5樓506室,台北市松山區,經歷不拘,專科
